player,players
56143,"821749,410763,629058,538506,629063,536936,401057,373696,56194,56029,932355,269237,300619,56025,932635,629057,436677,330902,280734,511532,550133,410765,375724,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,228349,444135,56167,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882,56056,56138,56093,56266,56007,56032,56031,56074,55906,55973,55986,55935,55954,56160"
927619,"410763,629063,536936,401057,373696,56194,56029,932355,269237,56025,629057,436677,330902,280734,270135"
436677,"410763,629058,538506,629063,536936,401057,373696,56194,56029,932355,269237,300619,56025,932635,629057,56143,927619,330902,280734,550133,410765,375724,301847,373538,288305,402992,300618,537154,629066,56149"
330902,"410763,629058,538506,629063,536936,401057,373696,56194,56029,932355,269237,300619,56025,932635,629057,56143,927619,436677,280734,550133,270135,380974,301847,373538,288305,300618,56283,537154,629066"
280734,"410763,629058,538506,629063,536936,401057,373696,56194,56029,932355,269237,300619,56025,932635,629057,56143,927619,436677,330902,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,227455,444135,55944,55988,55883,56054,56153,55946,55882,56138,56093,56266,56007,56032,56031"
511532,"410763,629063,536936,401057,373696,56194,56029,932355,269237,300619,56025,932635,629057,56143,280734,288305,402992,300618,56283,629066,56149,56154,380354,227455,228349,444135"
550133,"629063,536936,401057,373696,56194,56029,56025,932635,629057,56143,436677,330902,280734,380974,301847,373538"
270135,"410763,629058,629063,536936,401057,373696,56029,269237,56025,927619,330902,280734,446810"
446810,"410763,629058,629063,536936,401057,373696,56029,56025,280734,270135"
410765,"410763,629058,538506,629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,375724,373538"
375724,"410763,629058,538506,629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,280734,410765,301847,373538,288305,402992"
380974,"629063,536936,401057,373696,56194,56029,56025,330902,280734,550133"
301847,"538506,629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,330902,280734,550133,375724,373538"
373538,"629058,538506,629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,330902,280734,550133,410765,375724,301847,288305,402992,300618,56283"
288305,"538506,629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,330902,280734,511532,375724,373538,402992,300618,56283,629066,56149,56154,380354,227455,55944,55988,56054,56153,55946,56093,56266"
402992,"629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,280734,511532,375724,373538,288305,300618,537154,629066,56149,56154"
300618,"629063,536936,401057,373696,56194,56029,300619,56025,56143,436677,330902,280734,511532,373538,288305,402992,56283,537154,629066,56149,56154,380354,227455,228349,444135,56167,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882,56056,56138,56093"
56283,"629063,536936,401057,373696,56194,56029,300619,56025,56143,330902,280734,511532,373538,288305,300618,56149,56154,380354,227455,228349,444135,55944,55988,56054,56153,55946,56266,56007,56032,56031,56074,55906,55973,55935,55954"
537154,"536936,401057,373696,56194,56029,300619,56025,56143,436677,330902,280734,402992,300618,629066,56149"
629066,"536936,401057,373696,56194,56029,300619,56025,56143,436677,330902,280734,511532,288305,402992,300618,537154,56149,56154"
56149,"401057,373696,56194,56029,300619,56025,56143,436677,280734,511532,288305,402992,300618,56283,537154,629066,56154,380354,227455,444135,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882,56056,56138,56093,56266,56007,56032,56031,56074,55906,55973,55986,55935,55954,56160,56186,56064,56251,56235"
56154,"401057,373696,56194,56029,300619,56025,56143,280734,511532,288305,402992,300618,56283,629066,56149,380354,227455,228349,444135"
380354,"401057,373696,56194,56029,300619,56025,56143,511532,288305,300618,56283,56149,56154,227455,228349,444135,55944,55988,373439,55883"
227455,"401057,373696,56194,56029,300619,56025,56143,280734,511532,288305,300618,56283,56149,56154,380354,228349,444135,56167,55944,227454,55988,373439,55883,56059,56153,55946,55882,56056"
228349,"373696,56194,56029,300619,56143,511532,300618,56283,56154,380354,227455,444135"
444135,"373696,56194,56029,300619,56025,56143,280734,511532,300618,56283,56149,56154,380354,227455,228349,56167,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882"
56167,"373696,56194,56029,56143,300618,227455,444135,55944,227454,55988"
55944,"373696,56194,56029,300619,56025,56143,280734,288305,300618,56283,56149,380354,227455,444135,56167,227454,55988,373439,55883,56054,56153,55946,55882"
227454,"373696,56194,56029,56143,300618,56149,227455,444135,56167,55944,55988,56153,55946,55882,56266,56007,55906"
55988,"373696,56194,56029,300619,56025,56143,280734,288305,300618,56283,56149,380354,227455,444135,56167,55944,227454,373439,55883,56059,56054,56153,55946,55882,56056,56093,56266,56007,56032,56031,56074,55906,55973,55986,55935,55954,56160,56186,56064,56251,56235,55991,56180,56176,55976,56188,55915,55889,55968,56104,56249,55952,56107,55982,55878,55970,56221,56255,56035,56224,56219,55887,55909"
373439,"373696,56194,56029,300619,56025,56143,300618,56149,380354,227455,444135,55944,55988,55883,56059,56054,56153"
55883,"373696,56194,56029,300619,56025,56143,280734,300618,56149,380354,227455,444135,55944,55988,373439,56059,56054,56153,56056,56093"
56059,"56194,56029,300619,56025,56143,300618,56149,227455,444135,55988,373439,55883,56054,56153,56056"
56054,"56194,56029,300619,56025,56143,280734,288305,300618,56283,56149,444135,55944,55988,373439,55883,56059,56153,55946,56138,56093,56266,56007,56032,56031,56074"
56153,"56194,56029,300619,56025,56143,280734,288305,300618,56283,56149,227455,444135,55944,227454,55988,373439,55883,56059,56054,55946,55882,56056,56138,56093,56266,56007,56031,56074,55906,55973,55986,55935,55954,56160,56186,56064,56251"
55946,"56194,56029,300619,56025,56143,280734,288305,300618,56283,56149,227455,444135,55944,227454,55988,56054,56153,55882,56093,56266,56007,56032,56031,56074,55906,55973"
55882,"56194,56029,300619,56025,56143,280734,300618,56149,227455,444135,55944,227454,55988,56153,55946,56093,56266,56007,56031,56074,55906,55973,55935,55954,56160,56186,56064,56251,56176,55976,55915,55952"
56056,"56194,56029,56025,56143,300618,56149,227455,55988,55883,56059,56153,56266,56007,55906,55973,55935,55954,56064,55991,56180"
56138,"56194,56029,300619,56143,280734,300618,56149,56054,56153,56093"
56093,"56194,56029,300619,56025,56143,280734,288305,300618,56149,55988,55883,56054,56153,55946,55882,56138,56007,56032,56031"
56266,"56194,56029,300619,56025,56143,280734,288305,56283,56149,227454,55988,56054,56153,55946,55882,56056,56007,56074,55906,55973,55935,55954,56160,56186,56064,56251,56235,55991,56180,56176,55976"
56007,"56194,56029,300619,56025,56143,280734,56283,56149,227454,55988,56054,56153,55946,55882,56056,56093,56266,56032,56031,56074,55906,55973,55986,55935,55954,56160,56186,56064,56251,56235,55991,56180,56176,55976,55915,55968,56249,55952,56107,55982,55878,55970,56221,56035,56224,56219,55909"
56032,"56194,56029,56143,280734,56283,56149,55988,56054,55946,56093,56007,56031,56074"
56031,"56194,56029,56143,280734,56283,56149,55988,56054,56153,55946,55882,56093,56007,56032,56074,55906,55973,55986,55935"
56074,"56194,56029,56143,56283,56149,55988,56054,56153,55946,55882,56266,56007,56032,56031,55906,55973,55986,55935,55954,56160,56186,56064,56251,56235,55991,56176,55976,56188,55915,55889,55968,56104,56249,55952,56107"
55906,"56194,56029,56143,56283,56149,227454,55988,56153,55946,55882,56056,56266,56007,56031,56074,55973,55986,55935,55954,56160,56186,56064,56251,56235,55991,56180,56176,55976,56188,55915,55889,55968,56104,56249,55952,56107,55982,55878,55970,56221,56255,56035,56224,56077,56219,55887,55880,55909,56068"
55973,"56194,56029,56143,56283,56149,55988,56153,55946,55882,56056,56266,56007,56031,56074,55906,55986,55935,55954,56160,56186,56064,56251,56235,55991,56180,56176,55976,56188,55915,55889,55968,56104,56249,55952,56107,55982,55970,56221,56035,56224,56219,55909,56068"
55986,"56029,56143,56149,55988,56153,56007,56031,56074,55906,55973,55935,55954,56160,55976,55968,55952,56107,55878,55970,56221,56035,56224,56219,55887,55909"
55935,"56029,56143,56283,56149,55988,56153,55882,56056,56266,56007,56031,56074,55906,55973,55986,55954,56160,56186,56064,56251,56235,55991,56180,56176,55976,56188,55915,55889,55968,56249,55952,56107,55982,55878,55970,56221,56035,56224,56219,55887,55909"
55954,"56029,56143,56283,56149,55988,56153,55882,56056,56266,56007,56074,55906,55973,55986,55935,56160,56186,56064,56251,56235,55991,56180,56176,55976,56188,55915,55889,55968,56104,56249,55952,56107,55878,55970,56221,56255,56035,56224,56077,56219,55887,55880,55909,56068"
56160,"56029,56143,56149,55988,56153,55882,56266,56007,56074,55906,55973,55986,55935,55954,56186,56064,56251"
56186,"56029,56149,55988,56153,55882,56266,56007,56074,55906,55973,55935,55954,56160,56251,56180,56176,55915,55968,56107,56077,56219,55887"
56064,"56029,56149,55988,56153,55882,56056,56266,56007,56074,55906,55973,55935,55954,56160,56251,56235,55991,56180,56176,55976,56188,55915"
56251,"56149,55988,56153,55882,56266,56007,56074,55906,55973,55935,55954,56160,56186,56064,56235,55991,56180,56176,55976,56188,55915,55968,56249,55952,56107,55982,55878,55970,56221,56255,56035,56224,56077,56219,55887"
56235,"56029,56149,55988,56266,56007,56074,55906,55973,55935,55954,56064,56251,56176,55915,55952,56107"
55991,"55988,56056,56266,56007,56074,55906,55973,55935,55954,56064,56251,56180,56176,55976,56188,55915,55968,56104,56249"
56180,"55988,56056,56266,56007,55906,55973,55935,55954,56186,56064,56251,55991,56176,55915,55968,56249,56107,55878,56221,56255,56035,56224,56077,56219,55887,55880"
56176,"55988,55882,56266,56007,56074,55906,55973,55935,55954,56186,56064,56251,56235,55991,56180,55976,56188,55915,55889,55968,56104,56249,55952,56107,55982,55878,55970,56221,56255,56035,56224,56077,56219,55887"
55976,"55988,55882,56266,56007,56074,55906,55973,55986,55935,55954,56064,56251,55991,56176,56188,55915,55889,55968,56104,56249,55952,55878,55970,56221,56035,56224,56219,55909"
56188,"55988,56074,55906,55973,55935,55954,56064,56251,55991,56176,55976,55915,55889"
55915,"55988,55882,56007,56074,55906,55973,55935,55954,56186,56064,56251,56235,55991,56180,56176,55976,56188,55889,55968,56104,56249,55952,56107,55878,56221,56255,56035,56224,56077,56219,55887,55880"
55889,"55988,56074,55906,55973,55935,55954,56176,55976,56188,55915"
55968,"55988,56007,56074,55906,55973,55986,55935,55954,56186,56251,55991,56180,56176,55976,55915,56104,56249,55952,56107,55878,55970,56221,56035,56224,56077,56219,55887,55880,55909"
56104,"55988,56074,55906,55973,55954,55991,56176,55976,55915,55968,56249,55970,56221,56035,56224,56219,55909,56068"
56249,"55988,56007,56074,55906,55973,55935,55954,56251,55991,56180,56176,55976,55915,55968,56104,55952,55878,56221,56224,56219,55880"
55952,"55988,55882,56007,56074,55906,55973,55986,55935,55954,56251,56235,56176,55976,55915,55968,56249,56107,55982,55878,55970,56221,56035,56224,56219,55909"
56107,"55988,56007,56074,55906,55973,55986,55935,55954,56186,56251,56235,56180,56176,55915,55968,55952,55878,55970,56224,56077,56219,55887,55909"
55982,"55988,56007,55906,55973,55935,56251,56176,55952,55878,55970,56221"
55878,"55988,56007,55906,55986,55935,55954,56251,56180,56176,55976,55915,55968,56249,55952,56107,55982,55970,56221,56255,56035,56224,56219,55887,55880,55909"
55970,"55988,56007,55906,55973,55986,55935,55954,56251,56176,55976,55968,56104,55952,56107,55982,55878,56221,56035,56224,56219,55887,55909,56068"
56221,"55988,56007,55906,55973,55986,55935,55954,56251,56180,56176,55976,55915,55968,56104,56249,55952,55982,55878,55970,56035,56224,56219,55880,55909,56068"
56255,"55988,55906,55954,56251,56180,56176,55915,55878,56035,56224"
56035,"55988,56007,55906,55973,55986,55935,55954,56251,56180,56176,55976,55915,55968,56104,55952,55878,55970,56221,56255,56224,56219,55909,56068"
56224,"55988,56007,55906,55973,55986,55935,55954,56251,56180,56176,55976,55915,55968,56104,56249,55952,56107,55878,55970,56221,56255,56035,56219,55887,55880,55909,56068"
56077,"55906,55954,56186,56251,56180,56176,55915,55968,56107,56219"
56219,"55988,56007,55906,55973,55986,55935,55954,56186,56251,56180,56176,55976,55915,55968,56104,56249,55952,56107,55878,55970,56221,56035,56224,56077,55887,55880,55909,56068"
55887,"55988,55906,55986,55935,55954,56186,56251,56180,56176,55915,55968,56107,55878,55970,56224,56219"
55880,"55906,55954,56180,55915,55968,56249,55878,56221,56224,56219"
55909,"55988,56007,55906,55973,55986,55935,55954,55976,55968,56104,55952,56107,55878,55970,56221,56035,56224,56219,56068"
56068,"55906,55973,55954,56104,55970,56221,56035,56224,56219,55909"
