,id,matches
36,8917,"667899,667901,667711,667713,667715,667717,667719,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1119552,1119553,1140385,1140386,1140387,1158062,1158063,1158064,1152839,1152846,1243385,1239544,1239545,1239546"
37,24599,"592401,1127284,1152839"
38,310519,592401
39,232438,"592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,913641,913643,913645,913647,1029825,1029827,1031437,1031439"
40,311158,"592398,592399,592400,592401,667711,667713,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913643,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1115780,1115781,1119535,1119549,1119551,1119552,1119553,1140385,1140386,1140387,1158062,1158063,1158064,1152846,1152847,1152848,1152849,1152850,1187671,1187672,1185304,1185305,1185306,1185307,1225247,1225248,1225249,1198241,1243384,1243385,1243386,1243387"
41,247235,"566936,667715,667717,667719,800461,800467,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034813,1034815,1031661,1072305,1072306,1072307,1072308,1115780,1119536,1119550,1119551,1152839,1152846,1152847,1152848,1152850,1187672,1185307,1225248,1225249,1198241,1198242,1198243,1239546"
42,297499,566936
43,303669,"565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140385,1140386,1140387,1158062,1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1187671,1187672,1185304,1185305,1185306,1185307,1225248,1225249,1198241,1198242,1198243,1243015,1243016,1243384,1243385,1243386,1243387,1249210,1249211,1239543,1239544,1239545,1239546"
44,11718,"565806,565807,565808,565809,569243,569244,569245,566921,566922,800461,800463,800465,800467,913613,913615,913617"
45,297635,"534226,534227,902639,800461,800463,800465,800467"
46,297433,"534205,534206,534207,534227,565807,569245,566921,566922,566932,566933,566934,566935,592400,592401,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140387,1158062,1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1185304,1243015,1243016,1243386,1243387,1239543,1239544,1239545,1239546"
47,18632,"521225,521226,565806,565807,565808,902639"
48,21431,426402
49,24598,"426401,426402,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630"
50,21646,"426424,766929"
51,210283,"426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,474464,521226,534207,534226,534227,565808,569243,569244,569245,566921,566922,566932,743967,743969,743971,800461,800463,800465,913613,913615,913617,913641,913645,913647,1029827"
52,10656,"426423,592397,592398,592399,592400,592401"
53,47623,"345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,766929,766931,766933"
54,18389,"380712,380713,345971,345972,345973,387570,387571,387572,534207"
55,9310,"380712,380713,426423,426424,426401,428752,428753,474473,474474,474475,521226,534205,534206,534207,534225,534226,565806,565809,566933,566934,566935,592399,592400"
56,23911,352664
57,20431,"361050,361051,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534227,565806,565807,565808,565809,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399"
58,270253,296910
59,8845,"300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,352663"
60,10617,"291223,300443,300444,296900,296901,296902,296909,296910,296912,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426413,426414,426415,426416,428749,428750,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,534205,534206,534225,534226,534227,565806,565807,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1034809,1034811,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140387,1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1187671,1187672,1185304,1185305,1185306,1185307,1225248,1225249,1198241,1198242,1198243,1243015,1243385,1243386,1249210,1249211,1239543"
61,10582,"291222,291223,291224,352663,380712,380713,345970,345971,345972,345973,474474,474475,534225"
62,21650,"258468,258469,258470,428751,428752,428753,474463,474464,474465,474472,531628,592397"
63,18675,"258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,361050,361051,352661,352662,390680,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,667899,667901,667711,667713"
64,16281,225266
65,17944,"225264,225265,225256,225257,225258,249224,249225,249226"
66,20123,"238187,258459,352662,390680,352663,352664"
67,18655,"239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,352664,345970,531629,531630,521225,565807,565808,565809,569243,569244,569245,592398,592400"
68,11728,"239025,238186,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553"
69,9117,239025
70,19264,"226351,238186,225264,225265,225266,225255,258459,258460,258461,667899,667901,667711,667713"
71,22144,"225443,226350,226351,238187"
72,19296,"213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,565806,565807,565808,565809,569243,569244,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401"
73,9062,"64096,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639"
74,20387,"64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227"
75,15501,"64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225264,225265,225266,225255,225256,249222,249223,249224"
76,10772,"64056,64057,218383,225443,226351,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426413,426414,426415,426416,428749,428750,428751,428752,428753"
77,20040,"64053,64087,64088"
78,11724,"64052,64053"
79,9042,"64052,64056,64057,64058,64080,209929,210366,1029825,1034813"
80,8476,64041
81,20242,"64040,64041,64042"
82,15901,"64040,64041,64057,64058"
83,15522,"64033,64053,64056"
84,16975,"64032,64033,64038,64039"
85,8608,"64032,64033,64038,64039,64040,64041,64042,64058,64094,64095,64096,64119,238187,249222,249223,249226,258468,258469,258470,291222,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,902635,902637,902639,800463,800465,800467,913613,913615,913617,913643,913645,913647,1034811,1034813,1034815,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140385,1140386,1158062,1158063,1158064,1152846,1185304,1185305,1225247,1225249,1198241,1198242,1198243,1243016,1243384,1243386,1243387,1249210,1249211,1239543,1239544,1239545,1239546"
86,15876,"63998,63999,64010,64011,64012,64013,64032,64033,64093,64094,64095,64096,64118,64119,64120"
87,14054,"63998,64010,64011,64012,64013,64032,64033,64038,64039,64040,64042,64052,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,221840,225443,226350,226351,239025,238186,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,291223,291224,300442,296912,361050,352661,390680,345973,345974"
88,15555,"63997,64009,64077,64078,64079,64080,64086,64093,64116,64117,64118,64120,209929,210366,213856,215010,215686,216994"
89,12877,"63961,63962,63963,63981,63982,63983,64012"
90,11848,"63961,63962,63963,64010,64011,64012,64013"
91,18265,"63940,63961"
92,8499,"63936,63939,63940"
93,22301,"63932,63933,63936,63937,63938"
94,20187,"63932,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296911,352661,352662,352663,387573"
95,21585,"63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,225264,225265,225266,225255,225256,225257,225258"
96,14236,"63889,63933,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64013,64032,64052,64053,64056,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,258459,258462,291222,291224,300442"
97,20073,"63883,63884"
98,22182,"63860,63861,63863,63864,63889,63890,63891,63892,63918,63932,63933,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,226350,226351,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911"
99,14020,63860
100,8487,"63860,63861,63862,63863,63864"
101,16876,"63844,63862,63864"
102,13362,"63844,63883,63884,63888"
103,19346,"63841,63842,63843,64052,64053,64056,64057,64058,64077,64078,64079,225257,225258,249225,249226"
104,13985,"63841,63842"
105,14149,"63817,63818"
106,21607,"63815,63818,63841,63938,63939,63991,63992,63999,64000,64011"
107,12856,"63807,63808,63860,63861,63862,63863,63883,63884,63888,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64038,64039,64040,64041,64042,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,221840,225443,226350,226351,239025,238186,238187,225264,225265,225266,249222,249223,249224,249225,249226,296910,296911,296912,361050,361051,352661,352662,390680,345970,345971,345972,345974"
108,13368,"63806,63899,63900,63901,63916,63917,63918,63936,63962,63963,63981,63982,63983,63991,63992,63997,63999,64000,64009,64032,64033,64038,64039,64040,64042,64052,64053,64056,64057,64058,64077,64078,64079,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,213856,215010,215686,216994,218383,225443,226350,249222,249223"
109,15477,"63805,63809"
110,14246,"63758,63809"
111,14244,"63758,63759,63783,63784"
112,20224,63757
113,14127,"63756,63757,63758,63783,63784,63785,63786,63787,63788,63805,63816,63817,63818,63842,63843"
114,9327,"63754,63755,63756,63757,63759,63783,63785,63786,63787,63788,63804,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63860,63861,63862,63863,63864,63936,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64116,64117"
115,20193,"63734,63861,63862,63863,63864,64011"
116,10881,"63718,63734,63735,63740,63741,63754,63755,63756,63757,63758,63786,63804,63805,63806,63814,63888,63890,63916,63917,63918,63938"
117,9269,63716
118,12466,"63715,63716,63754,63755,63756,63757,63804,63805"
119,18458,"63713,63715"
120,17121,"63713,63714,63715,63716,63717,63718,63734,63735,63739,63814,63815,63816,63817,63841,63842,63844,63860,63864,63939"
121,15403,"63713,63714,63844"
122,22361,63689
123,22328,"63687,63688,63689,63704"
124,15913,"63687,63688,63713,63716,63717,63718,63734,63735,63739,63740,63741,63806,63883,63884,63888,63889,63933"
125,13324,"63686,63689,63703"
126,10816,"63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63739,63740,63741,63804,63805,63806,63807,63808,63809,63814,63815,63889,63890,63891,63892,63932,63933,63937,63990,63998,64000"
127,16925,"63684,63685,63686,63702,63703,63704,63714,63759"
128,9069,63651
129,10870,"63649,63650,63651,63665,63666,63667,63687,63688,63689,63702,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63783,63784,63785,63809,63815,63816,63818,63990,63997,63998,63999,64000,64009,64012,64013"
130,13411,"63648,63649,63650,63651,63663,63664,63665,63684,63685,63686,63700,63701,63734,63735,63739,63740,63741,63754,63755,63756,63757,63804,63806,63807,63808,63809,63814,63815,63816,63817,63818,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,64038,64039"
131,22403,"63646,63647,63648,63649,63687,63688,63735,63739,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63936,63937,63938,63961,63962,63963,63997,63998,64009,64010,64011,64012"
132,19374,"63646,63647,63648,63649,63650,63651,63663,63664,63665,63666,63667"
133,9089,"63612,63613,64041,64042"
134,21537,"63611,63612,63613,63637,63638,63639,63640,63641,63650,63651,63663,63664,63665,63666,63667,63684,63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63814,63841,63842,63843,63844,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63937,63961,63981,63982,63983,63990,63991,63992,63997,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,209929,210366"
135,16959,"63611,63612,63663"
136,16212,"63611,63612"
137,15388,"63611,63612,63613,63702,63703"
138,20404,"63609,63610,63611,63613,63614,63646,63647,63648,63816,63818,63843"
139,10633,"63609,63610,63611,63612,63637,63639,63640,63641,63717,63740,63741,63754,63755,63756,63758,63759,63783,63784,63785,63787,63788,63841,63842,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63981,63982,63983,63990,63991,63992,63999,64000,64009,64010,64012,64013"
140,9121,"63599,63600"
141,21484,"63598,63647"
142,16886,"63578,63579"
143,17125,"63577,63578"
144,20051,"63576,63577,63598,63599,63638,63639,63649,63716,63718,63807,63808,63809,63899,63900,63901"
145,19364,"63571,63572,63573"
146,17099,"63560,63561,63562"
147,15383,"63559,63560,63684,63685,63686,63688,63700,63702,63703"
148,22333,"63557,63558,63614"
149,19323,"63557,63558,63559,63560,63561,63562,63575,63578,63579,63614,63638,63639,63640,63641,63667,63684,63685,63700,63701,63759,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63844,63883,63884,63888,63889,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983"
150,14187,"63557,63558,63559,63560,63571,63572,63573,63575,63576,63577,63578,63598,63599,63600,63605,63609,63610,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63665,63684,63685,63686,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63807,63808,63809,63815,63816,63817,63818,63843,63883,63884,63888,63889,63891,63892,63899,63900,63901,63916,63917"
151,21611,"63544,63545,63546,63547,63561,63562,63571,63572,63573,63579,63599,63600,63605,63609,63610,63640,63641,63650,63663,63664,63665,63666,63734,63735,63739,63740,63741,63759,63783,63784,63785,63786,63787,63788,63841,63842,63843,63844,63861,63862,63863,63940"
152,22453,63536
153,17102,"63534,63535,63536"
154,16274,"63533,63534,63535,63543,63560,63561,63562,63571,63572,63575,63576,63577,63578,63579,63598,63599,63600,63605,63609,63610,63637,63638,63639,63640,63641,63666,63667,63713,63714,63715,63717,63718"
155,20372,"63526,63527,63528,63529,63531,63532,63533,63543,63544,63545,63546,63547,63561,63562,63571,63572,63573,63575,63576,63577,63578,63579,63598,63599,63600,63605,63609,63610,63611,63612,63613,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63684,63685,63686,63700,63701,63702,63703,63704,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64013,64032,64033,64038,64039,64040,64041,64042"
156,14325,"63526,63528,63529,63611,63612,63613,63614,63713,63714,63715,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63814,63815,63816,63817,63818,63841,63842,63844,63860,63861,63862,63863,63864,63883,63884,63888,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63936,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64052,64053,64057,64058,64077,64078,64079,64080,64086"
157,20359,63512
158,15380,"63512,63637,63638"
159,16885,"63511,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63576,63577,63579,63598,63599,63605,63614,63637,63646,63651,63664,63665,63666,63667,63684,63689,63701,63704,63754,63755,63758,63759"
160,8579,"63511,63512,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63559,63560,63561,63577,63578,63579,63600,63605,63609,63610,63611,63612,63613,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63665,63666,63667,63684,63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63814,63815,63816,63817,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940"
161,12909,"63509,63510,63511,63526,63527,63534,63535,63536,63543,63544,63546,63614,63638,63639,63640,63641,63646,63647,63648,63649,63650,63665,63666,63667,63685,63686,63687,63688,63689,63700,63701,63704,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63817"
162,19500,"63489,63507,63508,63509,63510,63511,63512,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63557,63558,63559,63560,63562,63571,63572,63573,63575,63576,63577,63637,63638,63639,63640,63641,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63784,63785,63786,63787,63788"
163,18012,"63489,63507,63547"
164,16219,"63489,63559,63561,63562,63573"
165,9002,"63489,63507,63508,63509"
166,16951,"63488,63613,63614,63637"
167,8942,"63488,63527,63528,63529"
