player,matches
20387,"64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227"
15501,"64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225264,225265,225266,225255,225256,249222,249223,249224"
10772,"64056,64057,218383,225443,226351,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426413,426414,426415,426416,428749,428750,428751,428752,428753"
20040,"64053,64087,64088"
11724,"64052,64053"
9042,"64052,64056,64057,64058,64080,209929,210366,1029825,1034813"
8476,64041
20242,"64040,64041,64042"
15901,"64040,64041,64057,64058"
15522,"64033,64053,64056"
16975,"64032,64033,64038,64039"
8608,"64032,64033,64038,64039,64040,64041,64042,64058,64094,64095,64096,64119,238187,249222,249223,249226,258468,258469,258470,291222,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,902635,902637,902639,800463,800465,800467,913613,913615,913617,913643,913645,913647,1034811,1034813,1034815,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140385,1140386,1158062,1158063,1158064,1152846,1185304,1185305,1225247,1225249,1198241,1198242,1198243,1243016,1243384,1243386,1243387,1249210,1249211,1239543,1239544,1239545,1239546"
15876,"63998,63999,64010,64011,64012,64013,64032,64033,64093,64094,64095,64096,64118,64119,64120"
14054,"63998,64010,64011,64012,64013,64032,64033,64038,64039,64040,64042,64052,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,221840,225443,226350,226351,239025,238186,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,291223,291224,300442,296912,361050,352661,390680,345973,345974"
15555,"63997,64009,64077,64078,64079,64080,64086,64093,64116,64117,64118,64120,209929,210366,213856,215010,215686,216994"
12877,"63961,63962,63963,63981,63982,63983,64012"
11848,"63961,63962,63963,64010,64011,64012,64013"
18265,"63940,63961"
8499,"63936,63939,63940"
22301,"63932,63933,63936,63937,63938"
20187,"63932,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296911,352661,352662,352663,387573"
21585,"63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,225264,225265,225266,225255,225256,225257,225258"
14236,"63889,63933,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64013,64032,64052,64053,64056,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,258459,258462,291222,291224,300442"
20073,"63883,63884"
22182,"63860,63861,63863,63864,63889,63890,63891,63892,63918,63932,63933,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,226350,226351,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911"
14020,63860
8487,"63860,63861,63862,63863,63864"
16876,"63844,63862,63864"
13362,"63844,63883,63884,63888"
19346,"63841,63842,63843,64052,64053,64056,64057,64058,64077,64078,64079,225257,225258,249225,249226"
13985,"63841,63842"
14149,"63817,63818"
21607,"63815,63818,63841,63938,63939,63991,63992,63999,64000,64011"
12856,"63807,63808,63860,63861,63862,63863,63883,63884,63888,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64038,64039,64040,64041,64042,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,221840,225443,226350,226351,239025,238186,238187,225264,225265,225266,249222,249223,249224,249225,249226,296910,296911,296912,361050,361051,352661,352662,390680,345970,345971,345972,345974"
13368,"63806,63899,63900,63901,63916,63917,63918,63936,63962,63963,63981,63982,63983,63991,63992,63997,63999,64000,64009,64032,64033,64038,64039,64040,64042,64052,64053,64056,64057,64058,64077,64078,64079,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,213856,215010,215686,216994,218383,225443,226350,249222,249223"
15477,"63805,63809"
14246,"63758,63809"
14244,"63758,63759,63783,63784"
20224,63757
14127,"63756,63757,63758,63783,63784,63785,63786,63787,63788,63805,63816,63817,63818,63842,63843"
9327,"63754,63755,63756,63757,63759,63783,63785,63786,63787,63788,63804,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63860,63861,63862,63863,63864,63936,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64116,64117"
20193,"63734,63861,63862,63863,63864,64011"
10881,"63718,63734,63735,63740,63741,63754,63755,63756,63757,63758,63786,63804,63805,63806,63814,63888,63890,63916,63917,63918,63938"
9269,63716
12466,"63715,63716,63754,63755,63756,63757,63804,63805"
18458,"63713,63715"
17121,"63713,63714,63715,63716,63717,63718,63734,63735,63739,63814,63815,63816,63817,63841,63842,63844,63860,63864,63939"
15403,"63713,63714,63844"
22361,63689
22328,"63687,63688,63689,63704"
15913,"63687,63688,63713,63716,63717,63718,63734,63735,63739,63740,63741,63806,63883,63884,63888,63889,63933"
13324,"63686,63689,63703"
10816,"63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63739,63740,63741,63804,63805,63806,63807,63808,63809,63814,63815,63889,63890,63891,63892,63932,63933,63937,63990,63998,64000"
16925,"63684,63685,63686,63702,63703,63704,63714,63759"
9069,63651
10870,"63649,63650,63651,63665,63666,63667,63687,63688,63689,63702,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63783,63784,63785,63809,63815,63816,63818,63990,63997,63998,63999,64000,64009,64012,64013"
13411,"63648,63649,63650,63651,63663,63664,63665,63684,63685,63686,63700,63701,63734,63735,63739,63740,63741,63754,63755,63756,63757,63804,63806,63807,63808,63809,63814,63815,63816,63817,63818,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,64038,64039"
22403,"63646,63647,63648,63649,63687,63688,63735,63739,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63936,63937,63938,63961,63962,63963,63997,63998,64009,64010,64011,64012"
19374,"63646,63647,63648,63649,63650,63651,63663,63664,63665,63666,63667"
9089,"63612,63613,64041,64042"
21537,"63611,63612,63613,63637,63638,63639,63640,63641,63650,63651,63663,63664,63665,63666,63667,63684,63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63814,63841,63842,63843,63844,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63937,63961,63981,63982,63983,63990,63991,63992,63997,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,209929,210366"
16959,"63611,63612,63663"
16212,"63611,63612"
15388,"63611,63612,63613,63702,63703"
20404,"63609,63610,63611,63613,63614,63646,63647,63648,63816,63818,63843"
10633,"63609,63610,63611,63612,63637,63639,63640,63641,63717,63740,63741,63754,63755,63756,63758,63759,63783,63784,63785,63787,63788,63841,63842,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63981,63982,63983,63990,63991,63992,63999,64000,64009,64010,64012,64013"
9121,"63599,63600"
21484,"63598,63647"
16886,"63578,63579"
17125,"63577,63578"
20051,"63576,63577,63598,63599,63638,63639,63649,63716,63718,63807,63808,63809,63899,63900,63901"
19364,"63571,63572,63573"
17099,"63560,63561,63562"
15383,"63559,63560,63684,63685,63686,63688,63700,63702,63703"
22333,"63557,63558,63614"
19323,"63557,63558,63559,63560,63561,63562,63575,63578,63579,63614,63638,63639,63640,63641,63667,63684,63685,63700,63701,63759,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63844,63883,63884,63888,63889,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983"
14187,"63557,63558,63559,63560,63571,63572,63573,63575,63576,63577,63578,63598,63599,63600,63605,63609,63610,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63665,63684,63685,63686,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63807,63808,63809,63815,63816,63817,63818,63843,63883,63884,63888,63889,63891,63892,63899,63900,63901,63916,63917"
21611,"63544,63545,63546,63547,63561,63562,63571,63572,63573,63579,63599,63600,63605,63609,63610,63640,63641,63650,63663,63664,63665,63666,63734,63735,63739,63740,63741,63759,63783,63784,63785,63786,63787,63788,63841,63842,63843,63844,63861,63862,63863,63940"
22453,63536
17102,"63534,63535,63536"
16274,"63533,63534,63535,63543,63560,63561,63562,63571,63572,63575,63576,63577,63578,63579,63598,63599,63600,63605,63609,63610,63637,63638,63639,63640,63641,63666,63667,63713,63714,63715,63717,63718"
20372,"63526,63527,63528,63529,63531,63532,63533,63543,63544,63545,63546,63547,63561,63562,63571,63572,63573,63575,63576,63577,63578,63579,63598,63599,63600,63605,63609,63610,63611,63612,63613,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63684,63685,63686,63700,63701,63702,63703,63704,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64013,64032,64033,64038,64039,64040,64041,64042"
14325,"63526,63528,63529,63611,63612,63613,63614,63713,63714,63715,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63814,63815,63816,63817,63818,63841,63842,63844,63860,63861,63862,63863,63864,63883,63884,63888,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63936,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64052,64053,64057,64058,64077,64078,64079,64080,64086"
20359,63512
15380,"63512,63637,63638"
16885,"63511,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63576,63577,63579,63598,63599,63605,63614,63637,63646,63651,63664,63665,63666,63667,63684,63689,63701,63704,63754,63755,63758,63759"
8579,"63511,63512,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63559,63560,63561,63577,63578,63579,63600,63605,63609,63610,63611,63612,63613,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63665,63666,63667,63684,63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63814,63815,63816,63817,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940"
12909,"63509,63510,63511,63526,63527,63534,63535,63536,63543,63544,63546,63614,63638,63639,63640,63641,63646,63647,63648,63649,63650,63665,63666,63667,63685,63686,63687,63688,63689,63700,63701,63704,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63817"
19500,"63489,63507,63508,63509,63510,63511,63512,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63557,63558,63559,63560,63562,63571,63572,63573,63575,63576,63577,63637,63638,63639,63640,63641,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63784,63785,63786,63787,63788"
18012,"63489,63507,63547"
16219,"63489,63559,63561,63562,63573"
9002,"63489,63507,63508,63509"
16951,"63488,63613,63614,63637"
8942,"63488,63527,63528,63529"
20263,"63487,63488,63489,63507,63508,63510,63511,63512,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63559,63561,63562,63571,63572,63573,63575,63576,63577,63578,63579,63598,63599,63600,63605,63609,63610,63611,63612,63613,63637,63638,63639,63640,63641,63646,63647,63648,63684,63685,63686,63687,63700,63701,63702,63703,63704"
10897,"63487,63488,63509,63510,63511"
10721,"63486,63488"
15485,"63477,63478,63484,63485,63508,63509,63598,63599,63605"
10653,"63463,63470,63471,63472,63476,63477,63478,63479,63486,63488,63512,63526,63527,63528,63529"
12803,"63461,63472,63478,63479,63531,63532,63533,63598,63599,63605"
22392,63446
19394,"63444,63445,63446,63447,63448,63463,63487,63488"
